Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
PT,96.0,"O'Shaughnessy, Michael GR/TR",,,,,,,,,,,,,
PK,94.0,"Cunanan, Kyle SO",,44.0,"Patrick, Hunter GR/TR",,95.0,"Long, Bronson RS SO/TR",,,,,,,
KO,94.0,"Cunanan, Kyle SO",,44.0,"Patrick, Hunter GR/TR",,95.0,"Long, Bronson RS SO/TR",,,,,,,
LS,54.0,"Booker, Adam RS SO",,,,,,,,,,,,,
H,96.0,"O'Shaughnessy, Michael GR/TR",,,,,,,,,,,,,
PR,21.0,"Rutledge, Henry RS JR",,3.0,"Mack, Jairus RS JR",,,,,,,,,,
KR,21.0,"Rutledge, Henry RS JR",,10.0,"Thomas Jr., Duane SO",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
East Carolina Pirates,,,,,,,,,,,,,,,
WR-X,5.0,"Sowell, Chase RS SO/TR",,3.0,"Robinson, Kelan RS JR/TR",,7.0,"King, Kerry RS SR",,,,,,,
WR-Z,13.0,"Smith, Anthony RS SR/TR",,89.0,"Leverett, Malik RS FR",,19.0,"Murphy, Josh RS JR",,,,,,,
WR-H,1.0,"Wright Jr., Winston GR/TR",,0.0,"Patterson, Jhari RS JR/TR",,33.0,"Spalding, Brock RS SO",,,,,,,
LT,52.0,"Moorer, Parker GR/TR",,61.0,"Tarpeh, Jayson RS JR/TR",,62.0,"McCrimon, Jimarion RS FR",,,,,,,
LG,55.0,"Bell, Darius RS JR/TR",,71.0,"Weaver, Bryce RS FR",,,,,,,,,,
C,65.0,"Hall, Dustyn GR/TR",,70.0,"Durant, Kameron RS FR",,,,,,,,,,
RG,76.0,"Sacra, Jacob RS SO",,0.0,"Jones, Karson RS SO/TR",,78.0,"Coats, William RS FR",,,,,,,
RT,74.0,"Ergle, Hampton RS SR",,60.0,"Poku, Emmanuel RS SO",,66.0,"Neolien, Marleo RS FR",,,,,,,
TE,10.0,"Kelly, Casey GR/TR",,6.0,"Riles, Desirrio SO",,9.0,"Savage, Tyler SR",,0.0,"Conner, Jayvontay RS FR/TR",,,,
QB,11.0,"Garcia, Jake RS JR/TR",,4.0,"Houser, Katin RS SO/TR",,2.0,"Jeter, Raheim RS FR",,0.0,"Harrison, Bryson RS FR/TR",,,,
RB,47.0,"Harris, Rahjai GR",,30.0,"Bond, Javious SO",,21.0,"Gunn Jr., Marlon JR",,0.0,"Montgomery, London RS FR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,3.0,"Stephens, Chad GR",,9.0,"Lampley, J.D. JR",,55.0,"Robinson, Jasiyah RS JR/TR",,,,,,,
NT,56.0,"Johnson, D'Anta RS SR",,92.0,"Mims, CJ RS SO",,,,,,,,,,
DT,90.0,"Morris, Elijah SR",,93.0,"McKenzie, Jaden GR/TR",,53.0,"Ware, Suirad RS SR",,,,,,,
RUSH,32.0,"Craig, Ryheem RS JR/TR",,7.0,"Dankah, Samuel JR",,17.0,"Thompson, Shaikh FR",,,,,,,
WLB,10.0,"Edwards III, Mike SR/TR",,41.0,"Johnson Jr., DJ RS FR",,42.0,"Davis, Julien RS FR",,,,,,,
MLB,23.0,"Wilson, Dameon RS JR/TR",,33.0,"Barker, Zakye RS SO",,38.0,"Holmes, Noah RS SR/TR",,,,,,,
STAR,25.0,"McKinstry, Kingston GR/TR",,40.0,"Turner III, Greg RS FR",,31.0,"Merrell, Kevon FR",,,,,,,
FCB,11.0,"Wilson-Lamp, Andrew RS JR/TR",,26.0,"Brown-Murray, Isaiah RS SO",,14.0,"Diston, Daylyn RS FR",,,,,,,
FS,6.0,"Nash, Dontavius RS JR/TR",,5.0,"Gibson, Gavin JR/TR",,12.0,"Rogers, Omar GR/TR",,,,,,,
BS,21.0,"Huff, Jordan RS SR/TR",,2.0,"King, Devon RS SR/TR",,0.0,"Duncanson, Ayden RS FR/TR",,,,,,,
BCB,28.0,"Revel Jr., Shavon SR/TR",,24.0,"Brown, TyMir RS JR/TR",,20.0,"McKinley, Kamaurri RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,12.0,"Larsen, Luke GR",,,,,,,,,,,,,
PK,95.0,"Conrad, Andrew JR",,,,,,,,,,,,,
KO,12.0,"Larsen, Luke GR",,,,,,,,,,,,,
LS,49.0,"Harper, Alex GR/TR",,41.0,"Smith, Tripp RS FR",,,,,,,,,,
H,12.0,"Larsen, Luke GR",,,,,,,,,,,,,
PR,19.0,"Murphy, Josh RS JR",,,,,,,,,,,,,
KR,30.0,"Bond, Javious SO",,1.0,"Wright Jr., Winston GR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Florida Atlantic Owls,,,,,,,,,,,,,,,
WR-X,13.0,"Horton, EJ SR/TR",,19.0,"Henry, Dominique RS SO/TR",,85.0,"Mitchell, Devarius JR/TR",,,,,,,
WR-Z,11.0,"Johnson, Marlyn GR/TR",,3.0,"Platt, Jayshon JR",,80.0,"Young, Joseph JR/TR",,89.0,"Coolman, Jett RS JR/TR",,,,
WR-SL,0.0,"Tucker, Milan RS SR/TR",,9.0,"Coombs, Caleb JR/TR",,82.0,"Smith, Jabari RS FR",,81.0,"Washington Jr., Leon FR",,,,
LT,70.0,"Lamar Sr., Malcolm GR/TR",,57.0,"Nonar, Ja'Kavion RS SO/TR",,76.0,"Saint-Jean, Chrisdasson RS FR",,,,,,,
LG,74.0,"Dubre, Ovie RS FR",,54.0,"Church, Jordan RS FR",,,,,,,,,,
C,64.0,"Maranges, Federico RS SR",,73.0,"Atcavage, Alex SR",,,,,,,,,,
RG,67.0,"Lamas, Andre SR",,62.0,"King, Okino RS SO",,,,,,,,,,
RT,78.0,"Richardson, Daughtry RS SO/TR",,55.0,"Jean, Woody RS JR/TR",,72.0,"Ramey, Brayden RS FR",,,,,,,
TE,48.0,"Moore, Zeke SO",,18.0,"Brantley, Kahlil RS JR/TR",,17.0,"Sullivan, Wyatt RS SO",,87.0,"Brown, Elijah RS SO/TR",,,,
QB,1.0,"Fancher, Cam RS JR/TR",,8.0,"Starks, Tyriq RS JR/TR",,12.0,"Weisman, Kasen RS FR/TR",,14.0,"Valentino, Michael FR",,,,
RB,7.0,"Johnson III, George GR/TR",,2.0,"Mobley, Zuberi RS JR",,5.0,"Campbell Jr., CJ RS JR/TR",,25.0,"Terrell, Xavier RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,49.0,"Jones, Chris SR",,93.0,"Brantley Jr., Eric RS FR/TR",,2.0,"Denaud, Wilky RS FR/TR",,,,,,,
NT,18.0,"Wheeler, Jaden SR",,97.0,"Davis, Devonta SR/TR",,,,,,,,,,
DT,50.0,"Merrifield, Jacob RS JR",,99.0,"Boyd, Prince GR/TR",,7.0,"Langston, Bryce RS JR/TR",,,,,,,
RUSH,95.0,"Bradley, Marlon RS SR",,16.0,"Ifeanyi, Chisom GR/TR",,13.0,"Salvati, August JR/TR",,,,,,,
MLB,9.0,"Tisdol, Desmond GR/TR",,3.0,"Williams, Eddie GR",,17.0,"Lee, Char'Quez FR",,,,,,,
WLB,43.0,"Ambush, Jackson GR/TR",,44.0,"Jerrels, Jarrett SR",,28.0,"Horton, Zyere RS SO/TR",,,,,,,
LCB,6.0,"Hill, Daedae SR/TR",,8.0,"Hudgens, Logic RS JR/TR",,,,,,,,,,
SS,4.0,"Dunnam, Phillip JR/TR",,0.0,"Philord, Wendol GR/TR",,,,,,,,,,
FS,20.0,"Scott, Fabian SO",,27.0,"Miller, Jaheim FR",,21.0,"Smith, Antonio RS FR",,,,,,,
RCB,11.0,"Brown, Kahzir SR/TR",,24.0,"Antoine Jr., Michal SR/TR",,,,,,,,,,
NB,5.0,"Williams, Jayden RS JR",,26.0,"Tooley III, Chris SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,16.0,"Lupo, Logan RS JR/TR",,39.0,"Salmon, Nick JR",,,,,,,,,,
PK,38.0,"Suarez, Morgan RS JR",,16.0,"Lupo, Logan RS JR/TR",,36.0,"Davis, Carter JR",,37.0,"Hammond III, Robert RS FR",,,,
KO,36.0,"Davis, Carter JR",,16.0,"Lupo, Logan RS JR/TR",,38.0,"Suarez, Morgan RS JR",,37.0,"Hammond III, Robert RS FR",,,,
LS,45.0,"Marino, Nicholas RS SR",,40.0,"Whiting, Luke RS FR/TR",,96.0,"Mucerino, Justin FR",,,,,,,
H,39.0,"Salmon, Nick JR",,,,,,,,,,,,,
PR,3.0,"Platt, Jayshon JR",,,,,,,,,,,,,
KR,3.0,"Platt, Jayshon JR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,4.0,"Alexander, BJ GR/TR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Memphis Tigers,,,,,,,,,,,,,,,
WR-X,3.0,"Taylor, Roc SR",,4.0,"Shorter, Jyaire RS SR/TR",,11.0,"Henry, Keonde FR",,,,,,,
WR-Z,10.0,"Drake, Koby RS SR",,1.0,"Banks, Ja'Koby SO/TR",,19.0,"Hawkins, Jamari RS SO",,,,,,,
WR-SL,0.0,"Blankumsee, Demeer RS SR/TR",,6.0,"Bussey, Marcello SR/TR",,36.0,"Williams, Markese FR",,,,,,,
LT,52.0,"Nichols, Jaylen GR/TR",,61.0,"Adams, Chris RS JR/TR",,75.0,"Montgomery, Cullen RS JR/TR",,,,,,,
LG,71.0,"Hill, Xavier RS JR/TR",,66.0,"McMillan, Calvin RS JR/TR",,79.0,"Marmino, Tim RS SR",,,,,,,
C,65.0,"Gambill, Jonah RS SR",,78.0,"Gildehaus, Mitchell RS SR",,74.0,"McKenzie, Kyndall RS SO",,,,,,,
RG,54.0,"Holler, Trent RS SR/TR",,72.0,"Breland, Malachi RS FR",,77.0,"Peterson, Parker RS FR",,,,,,,
RT,70.0,"Lewis, Keydrell SR/TR",,68.0,"Young, Jonathan JR/TR",,56.0,"Pascal, Cameron JR/TR",,,,,,,
TE,82.0,"Landphere, Anthony RS SR/TR",,86.0,"Doyle, Brendan RS JR/TR",,33.0,"Chislom, Jamauri RS JR/TR",,85.0,"Ross, Christian RS FR",,45.0,"Martin, Andrew RS FR",
QB,9.0,"Henigan, Seth SR",,16.0,"Cunningham, Cade RS JR/TR",,14.0,"Boyd, Harris RS FR",,7.0,"Maiden, Arrington FR",,17.0,"Dean, Matt RS FR",
RB,2.0,"Anderson Jr., Mario SR/TR",,22.0,"Thomas, Brandon RS SR",,5.0,"Smith, Sutton JR",,13.0,"Desrosiers Jr., Greg RS JR/TR",,21.0,"Bodiford, Makari FR",
DEF,,,,,,,,,,,,,,,
DE,12.0,"Hamilton, Cormontae RS SR/TR",,92.0,"Alobwede, Vic SR/TR",,14.0,"Grimes II, Reggie RS JR/TR",,,,,,,
NT,50.0,"Lucas Jr., Patrick RS SR/TR",,40.0,"Spears, Keveion'ta RS JR/TR",,51.0,"White, Joshua RS SO",,35.0,"Cole, Mond JR/TR",,,,
DT,93.0,"Baldwin, Devin RS SR/TR",,6.0,"Hunter Jr., Derick RS SR/TR",,55.0,"Jones, Adarious RS SR/TR",,91.0,"Brown, Jorhdan RS SO",,,,
BUCK,8.0,"Denis, Javon GR/TR",,94.0,"Whitlow Jr., William RS JR",,26.0,"Odom, AJ RS SO",,,,,,,
WLB,11.0,"Martin, Chandler RS JR/TR",,18.0,"Dansby, Rodney SR/TR",,45.0,"Karhu, Brett JR/TR",,,,,,,
MLB,32.0,"Mackey, Javante RS SO/TR",,49.0,"Hudson, Matt SR/TR",,44.0,"Edmondson, Bryce RS JR",,,,,,,
SLB,31.0,"Herring, Elijah JR/TR",,48.0,"Flaker, Jayden JR/TR",,33.0,"Minor Jr., Darryl RS JR/TR",,,,,,,
LCB,1.0,"Ross, Davion RS SR/TR",,2.0,"Barnett, Julian RS SR/TR",,29.0,"Denis, Jaidyn SR/TR",,,,,,,
SS,0.0,"Marsh, Kourtlan SR/TR",,16.0,"Grier, Jordan SR/TR",,,,,,,,,,
FS,24.0,"Rubin, Greg SR",,10.0,"Watts, AJ SR/TR",,21.0,"Israel, Samson JR/TR",,,,,,,
RCB,7.0,"Minor, Kobee SR/TR",,5.0,"Bell, DJ RS SO",,3.0,"Taylor, Tyrin SR/TR",,,,,,,
STAR,4.0,"Coffey, An'Darius RS SR",,15.0,"Miller, Cameron RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,13.0,"Sloan, Joshua SR/TR",,46.0,"Gillis, Tanner RS SR/TR",,35.0,"Sullins, Spencer FR",,,,,,,
PK,43.0,"Costa, Caden SR/TR",,46.0,"Gillis, Tanner RS SR/TR",,25.0,"Vandenberg, Tristian RS SR/TR",,47.0,"Carter, Landon RS FR",,32.0,"Castaneda, Oliver FR",
KO,46.0,"Gillis, Tanner RS SR/TR",,43.0,"Costa, Caden SR/TR",,25.0,"Vandenberg, Tristian RS SR/TR",,47.0,"Carter, Landon RS FR",,32.0,"Castaneda, Oliver FR",
LS,42.0,"Cox, Colby SR/TR",,38.0,"Stewart, William RS SR/TR",,40.0,"Zarut, Jonathan FR",,,,,,,
H,13.0,"Sloan, Joshua SR/TR",,46.0,"Gillis, Tanner RS SR/TR",,35.0,"Sullins, Spencer FR",,,,,,,
PR,10.0,"Drake, Koby RS SR",,0.0,"Blankumsee, Demeer RS SR/TR",,,,,,,,,,
KR,5.0,"Smith, Sutton JR",,33.0,"Chislom, Jamauri RS JR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Navy Midshipmen,,,,,,,,,,,,,,,
WR-X,82.0,"Kent, Nathan JR",,0.0,"Myers, Kroy SR",,84.0,"Velez, Regis SR/TR",,,,,,,
LT,68.0,"McMahon, Connor SR",,73.0,"Whitehouse, Michael SR",,74.0,"Hooper, Caden SO",,,,,,,
LG,64.0,"Purvis, Ben JR",,72.0,"Crawford, Greyson JR",,63.0,"Reemts, Michael SO",,,,,,,
C,65.0,"Self, Brent SR",,79.0,"Smith II, Hoke SO",,75.0,"Davis, JaBrian SO",,,,,,,
RG,62.0,"Bouton, Javan SR",,69.0,"Nichols, Cam SO",,60.0,"Simms, Zarian SO",,,,,,,
RT,66.0,"Cummings, Trey SR",,67.0,"Foulger, Creedyn SR",,76.0,"Molden, Luke JR",,,,,,,
TE,88.0,"Scully, Thomas SR",,83.0,"Howard, Cody JR",,96.0,"Norris, Jake SO",,,,,,,
QB,11.0,"Horvath, Blake JR",,5.0,"Woodson, Braxton SO",,,,,,,,,,
SB-A,24.0,"Chatman, Brandon JR",,25.0,"Bryant, Isaiah SO",,28.0,"Hassan, Amin SR",,,,,,,
SB-Z,22.0,"Heidenreich, Eli JR",,20.0,"Hodges, TK SO",,29.0,"Leonard, Gage SO",,,,,,,
FB,46.0,"Tecza, Alex JR",,45.0,"Fofana, Daba SR",,42.0,"Ingle, William SO",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,94.0,"Reed, Justin SR",,91.0,"LaFond, Chreign JR",,70.0,"Ozurumba, Ikenna SO",,,,,,,
NT,96.0,"Robinson, Landon JR",,95.0,"Willis, Griffen SO",,92.0,"McCalop, Alex SO",,,,,,,
DT,98.0,"Whiteside, Kendall JR",,99.0,"Narayan, Tyler JR",,97.0,"Reyes, Matt SO",,,,,,,
RAID,35.0,"Pirris, Luke JR",,33.0,"Sanders, Jordan SR",,57.0,"Spelios, Dylan JR",,,,,,,
MLB,39.0,"Grant, Job SO",,43.0,"Jacob, Kyle SR",,58.0,"Cauley, Coleman SO",,,,,,,
